rank,ppm,es,lm,en
1,32894,que,que,that
2,32116,de,de,of
3,29897,no,no,No
4,22313,a,a,a
5,21127,la,la,the
6,18112,el,el,the
7,16620,es,ser,it is
8,15743,y,y,Y
9,15303,en,en,in
10,14010,lo,lo,it
11,13410,un,un,a
12,10261,por,por,by
13,9903,qué,qué,what
14,9692,me,me,I
15,8656,una,un,a
16,8094,te,te,tea
17,7589,los,lo,the
18,7426,se,se,I know
19,6799,con,con,with
20,6455,para,para,for
21,5987,mi,mi,me
22,5909,está,estar,this
23,5880,si,si,Yes
24,5293,bien,bien,right
25,5012,pero,pero,but
26,4800,yo,yo,me
27,4788,eso,eso,it's
28,4748,las,la,the
29,4704,sí,sí,Yes
30,4549,su,su,its
31,4194,tu,tu,your
32,3952,aquí,aquí,here
33,3911,del,del,of
34,3887,al,al,to the
35,3760,como,comocomer,What
36,3470,le,le,you
37,3395,más,más,plus
38,3152,esto,esto,this
39,2944,ya,ya,Already
40,2929,todo,todo,all
41,2927,esta,esta,is
42,2830,vamos,ir,we go
43,2618,muy,muy,very
44,2584,hay,haber,there are
45,2523,ahora,ahora,now
46,2469,algo,algo,something
47,2454,estoy,estar,am
48,2349,tengo,tener,I've got
49,2247,nos,nos,us
50,2232,tú,tú,your
51,2122,nada,nada,any
52,2098,cuando,cuando,when
53,2079,ha,haber,he has
54,2069,este,este,East
55,2066,sé,saber,HE
56,2045,estás,estar,are
57,2044,así,así,So
58,1972,puedo,poder,Can I
59,1969,cómo,cómo,What
60,1940,quiero,querer,I want
61,1933,sólo,sólo,single
62,1913,soy,ser,am
63,1908,tiene,tener,have
64,1886,gracias,gracias,Thank you
65,1850,o,o,either
66,1836,él,él,the
67,1824,bueno,bueno,Okay
68,1811,fue,serir,it was
69,1782,ser,ser,be
70,1749,hacer,hacer,do
71,1703,son,ser,are
72,1687,todos,todo,everybody
73,1677,era,ser,it was
74,1677,eres,ser,are
75,1652,vez,vez,time
76,1636,tienes,tener,you have
77,1584,creo,creer,I think
78,1570,ella,ella,she
79,1570,he,haber,He
80,1508,ese,ese,that
81,1478,voy,ir,I go
82,1433,puede,poder,can
83,1422,sabes,saber,you know
84,1393,hola,hola,hello
85,1384,sus,su,their
86,1362,porque,porque,because
87,1356,dios,dios,god
88,1351,quién,quién,who
89,1342,nunca,nunca,never
90,1335,dónde,dónde,where
91,1331,quieres,querer,you want
92,1330,casa,casacasar,House
93,1313,favor,favor,favour
94,1306,esa,ese,this
95,1301,dos,dos,two
96,1291,tan,tanto,so
97,1289,señor,señor,mister
98,1288,tiempo,tiempo,weather
99,1269,verdad,verdad,TRUE
100,1250,estaba,estar,I was
101,1234,mejor,mejor,better
102,1232,están,estar,is it so
103,1219,va,ir,goes
104,1219,hombre,hombre,men
105,1218,usted,usted,you
106,1208,mucho,mucho,much
107,1195,hace,hacer,does
108,1194,entonces,entonces,then
109,1186,siento,sentirsentar,I feel
110,1177,tenemos,tener,we have
111,1134,puedes,poder,you may
112,1126,ahí,ahí,there
113,1103,ti,ti,you
114,1101,vida,vida,life
115,1097,ver,ver,watch
116,1046,alguien,alguien,someone
117,1040,sr,señor,Mr
118,1032,hasta,hasta,until
119,1029,sin,sin,without
120,1022,mí,mí,my
121,1013,solo,solo,only
122,1003,años,año,years
123,996,sobre,sobre,on
124,995,decir,decir,tell
125,993,uno,uno,one
126,986,siempre,siempre,forever
127,985,oh,oh,Oh
128,964,ir,ir,to go
129,962,cosas,cosacoser,stuff
130,962,también,también,also
131,955,antes,antes,before
132,942,has,haber,you have
133,941,ni,ni,neither
134,937,mis,mi,my
135,917,día,día,day
136,907,estar,estar,be
137,906,estamos,estar,we're
138,868,noche,noche,night
139,865,nadie,nadie,no one
140,857,otra,otro,other
141,855,quiere,querer,wants
142,851,parece,parecer,It seems
143,847,nosotros,nosotros,us
144,844,poco,poco,little bit
145,833,padre,padre,dad
146,828,trabajo,trabajotrabajar,worked
147,827,gente,gente,people
148,825,mira,mirar,look
149,817,vas,ir,you go
150,814,sea,ser,be
151,806,les,les,them
152,806,donde,donde,where
153,796,mismo,mismo,same
154,795,hecho,hacerhecho,done
155,792,ellos,ellos,they
156,770,dijo,decir,said
157,751,pasa,pasar,happens
158,740,dinero,dinero,money
159,728,hijo,hijo,son
160,724,tal,tal,such
161,710,otro,otro,other
162,706,hablar,hablar,speak
163,704,seguro,seguro,sure
164,699,claro,claro,Sure
165,685,estas,este,these
166,684,lugar,lugar,place
167,683,mundo,mundo,world
168,678,amigo,amigo,dude
169,674,espera,esperarespera,wait
170,673,mierda,mierda,shit
171,673,han,haber,they have
172,670,tus,tu,your
173,669,sabe,saber,knows
174,661,después,después,after
175,656,momento,momento,moment
176,653,desde,desde,since
177,650,fuera,fuerairser,outside
178,648,cosa,cosacoser,stuff
179,647,tipo,tipo,Type
180,646,mañana,mañana,morning
181,623,podemos,poder,can
182,617,dije,decir,said
183,608,gran,grande,great
184,607,necesito,necesitar,needed
185,597,estado,estarestado,condition
186,591,podría,poder,could
187,591,acuerdo,acordaracuerdo,agreement
188,587,papá,papá,father
189,583,tener,tener,to have
190,583,dice,decir,He says
191,581,mío,mío,Own
192,580,crees,creer,You believe
193,578,buena,buenobuena,good
194,573,gusta,gustar,like
195,573,nuestro,nuestro,our
196,572,nuevo,nuevo,new
197,570,será,ser,will be
198,568,haciendo,hacer,making
199,566,días,día,days
200,565,nombre,nombre,Name
201,565,buen,bueno,good
202,564,había,haber,there was
203,564,ven,vervenir,come
204,562,tres,tres,three
205,560,menos,menos,less
206,560,debe,deber,must
207,555,tenía,tener,I had
208,553,mal,mal,wrong
209,551,conmigo,conmigo,with me
210,549,madre,madre,mother
211,548,hoy,hoy,today
212,547,quien,quien,who
213,534,sido,ser,been
214,530,mamá,mamá,breast
215,529,tienen,tener,have
216,519,luego,luego,later
217,516,todas,todo,all
218,507,allí,allí,over there
219,502,toda,todo,all
220,498,hora,hora,hour
221,495,mujer,mujer,woman
222,490,visto,ver,viewed
223,490,haces,hacer,you do
224,487,importa,importar,It matters
225,486,contigo,contigo,with you
226,481,ve,verir,go
227,480,tarde,tardetardar,afternoon
228,480,oye,oír,hears
229,479,parte,partirparte,part
230,477,haber,haber,to have
231,477,hombres,hombre,mens
232,470,problema,problema,issue
233,469,mas,mas,plus
234,465,saber,saber,to know
235,463,quería,querer,wanted
236,461,aún,aún,even
237,460,veces,vez,times
238,458,nuestra,nuestro,our
239,454,hacerlo,hacer,do it
240,449,cada,cada,each
241,440,hizo,hacer,made
242,439,veo,ver,I see
243,438,tanto,tanto,so much
244,437,razón,razón,reason
245,437,ustedes,usted,your
246,432,idea,idea,idea
247,426,esos,eso,those
248,424,van,ir,go
249,422,quizá,quizá,Maybe
250,421,debo,deber,I shall
251,420,alguna,alguno,some
252,419,cierto,cierto,certain
253,414,ud,usted,You
254,413,muerto,muertomorir,dead
255,410,unos,un,some
256,408,estos,este,these
257,407,salir,salir,leave
258,407,policía,policía,policeman
259,402,realmente,realmente,Really
260,402,demasiado,demasiado,too
261,399,familia,familia,family
262,396,pueden,poder,they can
263,396,cabeza,cabeza,head
264,391,hemos,haber,we have
265,386,amigos,amigo,friends
266,383,chica,chicochica,girl
267,382,cariño,cariño,sweetie
268,382,lado,lado,side
269,380,allá,allá,there
270,379,entre,entre,Come in
271,379,minutos,minuto,minutes
272,378,digo,decir,say
273,378,algún,algún,some
274,375,serio,serio,I laughed
275,372,cuidado,cuidarcuidado,watch out
276,371,pasó,pasar,I pass
277,370,buenas,bueno,good
278,369,somos,ser,are
279,369,amor,amor,love
280,364,puerta,puerta,gate
281,363,ves,ver,you see
282,363,vaya,ir,wow
283,363,ah,ah,ah
284,358,suerte,suerte,luck
285,357,eh,eh,Hey
286,357,rápido,rápido,Quick
287,354,cuenta,contarcuenta,bill
288,352,quizás,quizás,maybe
289,349,esas,ese,those
290,348,pues,pues,well
291,344,pasado,pasarpasado,past
292,344,pensé,pensar,I thought
293,340,todavía,todavía,yet
294,340,hermano,hermano,brother
295,338,debes,deber,you should
296,338,casi,casi,almost
297,337,forma,forma,form
298,336,aqui,aquí,here
299,335,chico,chico,boy
300,334,ok,ok,okay
301,333,dicho,decirdicho,saying
302,332,nueva,nuevonueva,new
303,332,sabía,saber,I knew
304,332,muchas,mucho,many
305,331,dentro,dentro,within
306,330,hice,hacer,I did
307,329,contra,contra,against
308,327,auto,auto,auto
309,325,camino,caminocaminar,road
310,325,ayuda,ayudaayudar,aid
311,325,primera,primeroprimera,first
312,324,hacia,hacia,towards
313,324,vi,ver,saw
314,324,miedo,miedo,fear
315,322,adiós,adiós,bye
316,322,primero,primero,first
317,321,debería,deber,should
318,318,poder,poder,can
319,316,niños,niño,kids
320,316,sería,ser,would
321,316,historia,historia,history
322,315,hey,hey,Hey
323,314,mientras,mientras,while
324,313,ciudad,ciudad,city
325,313,dijiste,decir,said
326,310,espero,esperar,wait
327,309,cuánto,cuánto,how many
328,309,esposa,esposaesposar,wife
329,308,pronto,pronto,early
330,307,chicos,chico,Boys
331,307,cualquier,cualquier,any
332,307,viejo,viejo,old
333,307,debemos,deber,must
334,306,deja,dejar,let
335,305,año,año,year
336,304,muerte,muerte,death
337,304,hablando,hablar,talking
338,304,manos,mano,hands
339,304,da,dar,gives
340,303,loco,loco,crazy
341,300,problemas,problema,problems
342,299,mano,mano,hand
343,298,guerra,guerra,war
344,296,semana,semana,week
345,295,pasar,pasar,spend
346,294,vale,valervale,okay
347,292,cuál,cuál,which
348,292,viene,venir,comes
349,288,volver,volver,return
350,288,toma,tomar,taking
351,288,caso,casocasar,case
352,287,agua,agua,Water
353,287,haré,hacer,I will do
354,286,vete,ir,go away
355,286,entiendo,entender,I get it
356,286,horas,hora,hours
357,285,personas,persona,people
358,284,capitán,capitán,captain
359,283,adelante,adelante,ahead
360,282,niño,niño,little boy
361,282,listo,listo,clever
362,280,noches,noche,nights
363,279,buenos,bueno,good ones
364,279,iba,ir,I was going
365,279,juntos,junto,together
366,276,dame,dar,give to me
367,276,único,único,unique
368,276,déjame,dejar,let me
369,276,cerca,cercacercar,close
370,275,otros,otro,others
371,275,sigue,seguir,follow
372,275,grande,grande,great
373,274,arriba,arriba,up
374,274,jefe,jefe,boss
375,273,habla,hablarhabla,speech
376,271,supongo,suponer,I guess
377,271,manera,manera,way
378,270,quieren,querer,They want
379,270,feliz,feliz,happy
380,269,significa,significar,it means
381,269,sangre,sangre,blood
382,268,fin,fin,finish
383,268,bajo,bajarbajo,bass
384,267,llama,llamarllama,call
385,266,venir,venir,to come
386,265,morir,morir,To die
387,264,importante,importante,important
388,264,hiciste,hacer,did
389,264,ojos,ojo,eyes
390,263,escucha,escuchar,listen
391,261,entrar,entrar,get in
392,260,ningún,ninguno,none
393,260,corazón,corazón,heart
394,259,diablos,diablo,Devils
395,259,necesitamos,necesitar,need
396,259,atrás,atrás,behind
397,258,durante,durante,during
398,258,dices,decir,You say
399,257,nuestros,nuestro,our
400,257,persona,persona,person
401,256,abajo,abajo,down
402,255,dr,doctor,Dr.
403,255,hija,hija,daughter
404,254,dejar,dejar,let
405,254,necesita,necesitar,needs to
406,254,llegar,llegar,get
407,253,hago,hacer,I make
408,252,señora,señora,Mrs
409,250,haya,haberhaya,is
410,249,suficiente,suficiente,enough
411,249,doctor,doctor,doctor
412,248,gustaría,gustar,would like
413,247,tierra,tierra,Earth
414,247,cara,cara,expensive
415,247,siquiera,siquiera,even
416,246,genial,genial,cool
417,246,cree,creer,Believe
418,244,supuesto,suponer,supposed
419,243,tomar,tomar,drink
420,242,equipo,equipoequipar,equipment
421,242,justo,justo,just
422,242,juego,juegojugar,play
423,240,ninguna,ninguno,none
424,240,matar,matar,to kill
425,238,cinco,cinco,five
426,237,dicen,decir,They say
427,237,amo,amoamar,love
428,236,cuándo,cuándo,when
429,235,pequeño,pequeño,little
430,234,algunos,alguno,Some
431,233,conozco,conocer,know
432,233,clase,clase,class
433,231,maldito,maldito,damned
434,231,unas,un,nail
435,231,muchos,mucho,Many
436,230,hubiera,haber,had
437,230,segundo,segundo,second
438,229,aunque,aunque,though
439,229,pueda,poder,I can
440,229,dime,decir,tell me
441,229,igual,igual,Same
442,229,comida,comidacomer,food
443,228,ay,ay,Oh
444,228,cuerpo,cuerpo,Body
445,228,encontrar,encontrar,find
446,227,fuerte,fuerte,strong
447,227,vuelta,vueltavolver,lap
448,226,venga,venir,come on
449,225,creer,creer,believe
450,224,realidad,realidad,reality
451,222,saben,saber,They know
452,222,puta,puta,bitch
453,219,deberías,deber,you should
454,219,pregunta,preguntapreguntar,Question
455,219,fui,irser,I was
456,218,cuatro,cuatro,four
457,218,sra,señora,Mrs
458,217,primer,primero,first
459,217,trabajar,trabajar,to work
460,217,e,y,and
461,216,hagas,hacer,you do
462,216,alto,alto,tall
463,216,maldita,maldito,damn
464,215,comer,comer,to eat
465,215,número,número,number
466,215,dar,dar,to give
467,215,necesitas,necesitar,you need
468,215,oportunidad,oportunidad,chance
469,213,punto,punto,point
470,213,misma,mismo,same
471,213,última,último,last
472,213,afuera,afuera,outside
473,212,mujeres,mujer,women
474,212,pensar,pensar,to think
475,212,fueron,irser,were
476,211,difícil,difícil,hard
477,210,vivir,vivir,to live
478,210,paso,pasopasar,step
479,209,malo,malo,bad
480,208,estabas,estar,You were
481,207,vivo,vivirvivo,live
482,206,haga,hacer,make
483,206,queda,quedar,remains
484,205,hijos,hijo,sons
485,205,mayor,mayor,elderly
486,205,fiesta,fiesta,party
487,205,hacen,hacer,make
488,205,medio,medio,medium
489,204,algunas,alguno,some
490,204,basta,bastar,Enough
491,202,arma,armaarmar,weapon
492,202,vino,venirvino,came
493,201,meses,mes,months
494,201,cuarto,cuarto,fourth
495,201,éste,este,East
496,201,escuela,escuela,school
497,200,esté,estar,East
498,200,dólares,dólar,Dollars
499,198,tío,tío,uncle
500,198,posible,posible,possible
501,198,tuve,tener,I had
502,198,fácil,fácil,easy
503,198,preocupes,preocupar,worry
504,196,luz,luz,light
505,196,eran,ser,were
506,196,carajo,carajo,fuck
507,196,final,final,final
508,195,lista,listalisto,ready
509,195,trata,tratar,about
510,195,armas,armaarmar,weapons
511,194,hermana,hermana,sister
512,194,exactamente,exactamente,exactly
513,193,chicas,chica,girls
514,193,podía,poder,could
515,193,bastante,bastante,Quite
516,193,seguridad,seguridad,security
517,193,pasando,pasar,going
518,193,esperando,esperar,hoping for
519,192,acá,acá,here
520,192,teléfono,teléfono,telephone
521,192,perro,perro,dog
522,192,fuego,fuego,fire
523,191,murió,morir,he died
524,191,tampoco,tampoco,either
525,190,sola,solo,alone
526,189,estuvo,estar,he was
527,189,verte,ver,to see you
528,189,iré,ir,I will go
529,189,tenido,tener,Dyed
530,189,culpa,culpaculpar,fault
531,188,veras,veras,you'll see
532,188,adónde,adónde,where to
533,188,buscando,buscar,searching
534,187,cuanto,cuanto,how much
535,186,padres,padre,fathers
536,185,paz,paz,peace
537,184,demonios,demonio,demons
538,184,estará,estar,will be
539,183,cual,cual,which
540,181,perdón,perdón,sorry
541,181,asi,así,So
542,181,jugar,jugar,play
543,179,pensando,pensar,thinking
544,179,esperar,esperar,expect
545,179,sabemos,saber,we know
546,179,recuerdo,recuerdorecordar,memory
547,178,par,par,pair
548,178,joven,joven,young man
549,178,seguir,seguir,continue
550,178,pueblo,pueblo,village
551,177,tenga,tener,have
552,177,caballeros,caballero,gentlemen
553,176,idiota,idiota,moron
554,176,dio,dar,it gave
555,176,minuto,minuto,minute
556,176,bebé,bebé,baby
557,176,única,único,only
558,175,lejos,lejos,far
559,175,nuestras,nuestro,ours
560,174,plan,plan,plan
561,174,pienso,pensar,I think
562,173,sentido,sentidosentir,sense
563,173,dormir,dormir,sleep
564,173,digas,decir,you say
565,173,palabra,palabra,word
566,172,correcto,correcto,Right
567,172,control,control,control
568,172,vemos,ver,we see
569,172,entiendes,entender,You understand
570,171,país,país,country
571,171,seis,seis,six
572,171,último,último,latest
573,170,ésta,ésta,is
574,170,diga,decir,Say
575,169,podrías,poder,could you
576,168,pequeña,pequeña,small
577,167,cállate,callar,shut
578,167,trato,tratotratar,deal
579,167,rey,rey,king
580,167,sucede,suceder,happens
581,167,muchachos,muchacho,boys
582,167,jamás,jamás,Never
583,167,cama,cama,bed
584,167,srta,señorita,Ms
585,166,ayudar,ayudar,help
586,166,acerca,acercaacercar,about
587,165,di,dar,gave
588,165,cambio,cambiocambiar,change
589,164,falta,faltafaltar,lack
590,164,hospital,hospital,hospital
591,164,lleva,llevar,carries
592,163,presidente,presidente,President
593,163,mil,mil,one thousand
594,162,gusto,gustogustar,taste
595,161,conoces,conocer,you know
596,161,diciendo,decir,saying
597,161,os,os,you
598,160,ido,ir,gone
599,160,general,general,general
600,160,extraño,extrañoextrañar,weird
601,160,semanas,semana,weeks
602,160,coche,coche,car
603,159,peor,peorbien,worse
604,159,mucha,mucho,a lot
605,159,disculpe,disculpar,excuse me
606,159,diré,decir,I'll say
607,159,anoche,anoche,last night
608,158,perder,perder,lose
609,158,vámonos,ir,Let's go
610,157,nave,nave,ship
611,157,cielo,cielo,darling
612,157,habrá,haber,there will be
613,157,orden,orden,order
614,156,segura,seguro,safe
615,156,querida,queridaqueridoquerer,Dear
616,156,niña,niña,little girl
617,155,increíble,increíble,incredible
618,155,además,además,what's more
619,154,deben,deber,They must
620,154,libro,libro,book
621,154,calle,callecallar,street
622,154,café,café,coffee
623,153,piensas,pensar,You think
624,153,hacemos,hacer,we make
625,153,especial,especial,special
626,153,queremos,querer,we want
627,152,irme,ir,Go
628,152,perfecto,perfecto,perfect
629,152,buscar,buscar,Search
630,151,odio,odioodiar,hatred
631,151,piensa,pensar,think
632,151,oficina,oficina,office
633,151,hablas,hablarhabla,speak
634,151,libre,libre,free
635,150,agente,agente,agent
636,150,york,Nueva Yorkjamón york,York
637,150,llamar,llamar,to call
638,150,mala,malomala,bad
639,150,detrás,detrás,behind
640,149,viste,ver,dresses
641,149,dile,decir,tell him
642,148,grandes,grande,large
643,148,recuerdas,recordar,remember
644,148,real,real,real
645,147,estaban,estar,They were
646,147,mía,mío,mine
647,147,frente,frente,front
648,147,perdido,perder,lost
649,147,llamo,llamar,called
650,146,muertos,muerto,dead
651,146,millones,millón,millions
652,146,asesino,asesinoasesinar,assassin
653,145,sueño,sueñosoñar,sleep
654,145,quisiera,querer,I would like
655,145,habría,haber,there would be
656,144,hará,hacer,will do
657,143,viaje,viajeviajar,trip
658,143,probablemente,probablemente,probably
659,143,resto,resto,rest
660,143,estaré,estar,I will be
661,143,maldición,maldición,damn
662,142,lamento,lamentolamentar,lament
663,142,muchacho,muchacho,young guy
664,142,avión,avión,airplane
665,142,ropa,ropa,clothing
666,142,fuerza,fuerzaforzar,strength
667,141,llamado,llamadollamar,called
668,141,oído,oídooír,ear
669,141,dado,dadodar,given
670,141,encima,encima,over
671,141,negro,negro,black
672,140,usar,usar,use
673,140,información,información,information
674,140,uds,ustedes,You
675,139,preguntas,preguntarpregunta,questions
676,139,tuvo,tener,He had
677,139,secreto,secreto,secret
678,139,vuelve,volver,Come back
679,139,miren,mirar,Look
680,139,quieras,querer,You want
681,139,haría,hacer,would do
682,139,acaba,acabar,just
683,138,otras,otro,others
684,138,incluso,incluso,even
685,138,sientes,sentirsentar,you feel
686,138,deberíamos,deber,we should
687,137,haz,hacerhaz,make
688,137,decirte,decir,tell you
689,137,boca,boca,mouth
690,136,dolor,dolor,pain
691,136,baño,bañobañar,bath
692,136,adentro,adentro,indoors
693,136,profesor,profesor,professor
694,135,habitación,habitación,room
695,135,daño,dañodañar,damage
696,135,tuyo,tuyo,yours
697,135,seas,ser,You are
698,135,noticias,noticia,news
699,134,demás,demás,the rest
700,134,querido,queridoquerer,Dear
701,134,duro,durodurar,Lasted
702,134,poner,poner,put
703,134,prueba,pruebaprobar,Test
704,133,mire,mirar,Look
705,133,tonto,tonto,fool
706,133,campo,campocampar,countryside
707,133,siendo,ser,being
708,133,diez,diez,ten
709,132,ése,ese,that
710,131,tranquilo,tranquilo,calm
711,131,asunto,asunto,affair
712,131,acabó,acabar,just
713,131,quédate,quedar,stay
714,131,derecho,derecho,law
